"Investment in building construction 1 2 3 4"
"Frequency: Monthly"
"Table: 34-10-0286-01"
"Release date: 2024-01-18"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Geography","Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work","Types of work, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Value","Unadjusted - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of structure","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total residential and non-residential","2,654,953,262","2,511,000,154","2,380,570,930","2,524,989,781","2,798,345,265","3,164,660,177","3,436,645,266","3,193,703,187","3,128,656,142","3,174,178,003","3,276,914,807","3,070,700,733","2,819,233,670","2,649,981,445","2,554,812,237","2,659,360,504","2,881,116,298","3,086,815,509","3,190,598,012","3,363,335,285","3,351,522,631","3,041,830,873","2,906,799,321","2,757,161,771","2,603,001,904","2,500,027,330","2,417,397,206","2,512,668,154","2,697,040,549","2,923,403,476","3,232,155,046","3,541,526,924","3,468,052,862","3,135,727,430","3,112,423,089","3,074,225,657","2,850,521,306","2,804,343,209","2,809,575,641","2,015,827,864","2,637,449,153","3,199,166,893","3,536,248,694","3,635,018,796","3,559,992,207","3,389,744,251","3,364,892,032","3,229,873,719","3,114,234,213","3,020,828,789","3,115,073,546","3,387,287,877","3,472,160,304","3,551,015,783","3,922,965,092","4,034,794,939","3,874,531,620","3,721,520,415","3,683,438,781","3,705,890,676","3,655,525,631","3,359,078,910","3,243,937,209","3,493,550,246","3,610,923,284","3,887,878,203","4,208,877,790","4,312,801,123","4,161,263,523","3,961,433,711","3,889,343,596","3,794,092,920","3,851,872,821","3,972,125,286","3,676,769,056","3,743,266,763","3,966,202,933","4,034,488,267","4,127,263,658","4,161,883,263","4,260,842,696","3,963,587,764","3,742,068,191"
"Total residential","1,885,452,447","1,747,488,850","1,621,171,306","1,745,306,442","1,972,862,624","2,303,590,918","2,516,809,329","2,242,818,425","2,164,338,444","2,202,118,854","2,295,791,628","2,090,760,777","1,851,227,143","1,683,937,572","1,593,689,587","1,697,737,944","1,930,377,530","2,128,283,299","2,207,380,457","2,365,975,259","2,354,797,565","2,052,733,716","1,934,340,173","1,797,978,304","1,674,548,032","1,600,210,360","1,550,829,508","1,664,712,747","1,840,352,680","2,064,718,469","2,332,926,694","2,612,784,967","2,516,919,354","2,168,172,304","2,127,931,650","2,090,319,255","1,861,294,552","1,813,608,021","1,810,996,129","1,313,232,236","1,657,843,270","2,111,896,705","2,452,484,260","2,571,043,087","2,554,735,669","2,409,788,033","2,374,851,266","2,251,571,152","2,142,576,024","2,058,814,462","2,165,189,673","2,450,541,742","2,526,491,173","2,614,809,070","2,977,186,013","3,064,782,028","2,902,167,157","2,740,050,444","2,699,101,234","2,711,590,477","2,649,404,792","2,357,735,917","2,244,183,311","2,445,807,329","2,579,958,886","2,786,996,974","3,073,006,884","3,174,221,281","2,982,345,832","2,772,533,150","2,682,778,532","2,554,215,816","2,621,597,986","2,736,705,237","2,453,358,128","2,439,202,704","2,638,427,374","2,676,948,753","2,755,451,668","2,808,976,874","2,897,997,077","2,637,674,918","2,437,421,891"
"Single dwelling building total","1,156,264,714","1,021,841,081","872,008,741","931,016,729","1,096,278,552","1,280,433,190","1,347,890,204","1,114,839,777","1,103,549,836","1,153,208,141","1,203,643,038","1,083,090,248","964,116,230","888,961,309","799,763,109","834,125,975","1,014,972,638","1,165,645,784","1,185,620,653","1,195,588,921","1,194,660,962","1,036,760,818","1,053,140,863","949,961,528","798,352,088","670,352,895","601,036,219","635,774,011","740,686,818","907,237,092","1,000,509,777","1,055,348,627","1,054,919,991","953,627,761","893,711,465","725,336,381","678,167,842","678,646,348","648,036,871","440,500,009","627,499,898","854,256,390","1,054,406,299","1,025,927,174","951,777,697","955,360,027","1,000,608,021","898,895,944","840,468,345","799,664,188","834,747,651","978,465,876","1,071,535,013","1,146,052,572","1,294,672,651","1,331,896,485","1,287,922,548","1,214,247,010","1,237,123,371","1,197,036,262","1,099,338,645","959,672,511","926,634,060","1,065,881,631","1,116,893,458","1,307,982,251","1,443,954,720","1,448,806,798","1,331,157,074","1,183,198,301","1,120,405,662","1,119,149,164","1,150,527,297","1,099,546,037","964,887,442","980,451,120","1,017,805,539","1,067,437,566","1,104,246,392","1,094,224,376","1,095,171,163","1,018,553,232","980,205,268"
"Multiple dwelling building total","729,187,733","725,647,770","749,162,565","814,289,713","876,584,072","1,023,157,728","1,168,919,125","1,127,978,648","1,060,788,608","1,048,910,713","1,092,148,590","1,007,670,529","887,110,913","794,976,263","793,926,479","863,611,968","915,404,893","962,637,515","1,021,759,804","1,170,386,338","1,160,136,603","1,015,972,898","881,199,310","848,016,776","876,195,944","929,857,465","949,793,289","1,028,938,737","1,099,665,863","1,157,481,377","1,332,416,917","1,557,436,341","1,461,999,364","1,214,544,542","1,234,220,185","1,364,982,875","1,183,126,710","1,134,961,673","1,162,959,258","872,732,227","1,030,343,372","1,257,640,315","1,398,077,961","1,545,115,912","1,602,957,972","1,454,428,006","1,374,243,245","1,352,675,207","1,302,107,679","1,259,150,275","1,330,442,022","1,472,075,866","1,454,956,160","1,468,756,498","1,682,513,363","1,732,885,543","1,614,244,609","1,525,803,434","1,461,977,863","1,514,554,215","1,550,066,147","1,398,063,406","1,317,549,251","1,379,925,697","1,463,065,428","1,479,014,724","1,629,052,164","1,725,414,483","1,651,188,758","1,589,334,849","1,562,372,870","1,435,066,652","1,471,070,690","1,637,159,199","1,488,470,686","1,458,751,584","1,620,621,834","1,609,511,188","1,651,205,276","1,714,752,498","1,802,825,914","1,619,121,685","1,457,216,623"
"Total non-residential","769,500,815","763,511,304","759,399,624","779,683,339","825,482,641","861,069,258","919,835,937","950,884,762","964,317,697","972,059,149","981,123,179","979,939,956","968,006,527","966,043,873","961,122,650","961,622,560","950,738,768","958,532,210","983,217,556","997,360,026","996,725,065","989,097,157","972,459,148","959,183,467","928,453,872","899,816,970","866,567,698","847,955,407","856,687,868","858,685,006","899,228,352","928,741,957","951,133,508","967,555,126","984,491,440","983,906,402","989,226,754","990,735,188","998,579,512","702,595,628","979,605,883","1,087,270,188","1,083,764,434","1,063,975,709","1,005,256,538","979,956,217","990,040,765","978,302,568","971,658,189","962,014,326","949,883,873","936,746,135","945,669,131","936,206,713","945,779,079","970,012,912","972,364,463","981,469,970","984,337,547","994,300,199","1,006,120,839","1,001,342,994","999,753,898","1,047,742,918","1,030,964,399","1,100,881,229","1,135,870,906","1,138,579,842","1,178,917,691","1,188,900,561","1,206,565,064","1,239,877,104","1,230,274,835","1,235,420,049","1,223,410,928","1,304,064,059","1,327,775,560","1,357,539,514","1,371,811,990","1,352,906,389","1,362,845,619","1,325,912,846","1,304,646,300"
"Total industrial","95,292,413","89,475,196","86,363,187","84,272,502","83,867,743","86,402,992","95,781,954","96,455,338","96,831,131","106,702,917","113,430,269","117,575,899","123,952,833","137,887,996","145,351,070","153,293,265","154,743,509","152,809,774","150,187,124","151,929,889","149,538,778","147,461,563","143,971,454","139,504,869","132,503,826","133,065,927","128,930,723","125,116,912","121,602,178","116,552,575","117,040,693","117,267,974","124,149,058","124,663,769","131,216,166","132,670,559","131,333,303","131,345,474","123,021,405","107,641,010","112,310,169","112,446,998","112,391,742","109,146,124","111,443,674","111,077,090","114,285,856","113,643,044","110,626,929","111,605,343","111,795,291","112,477,383","110,905,859","109,873,575","110,988,019","111,280,807","112,598,194","118,238,737","118,181,542","122,249,541","124,390,938","135,437,914","140,010,570","154,151,917","159,872,202","181,141,496","187,312,934","186,497,230","195,203,914","200,973,055","206,546,418","231,033,864","231,804,844","241,144,244","244,532,984","256,139,829","256,820,644","256,188,997","254,110,547","246,446,390","243,983,036","238,002,264","229,255,564"
"Total commercial","469,797,317","473,016,420","474,162,387","493,760,331","532,026,354","552,217,945","586,295,669","612,203,850","626,646,479","629,507,025","634,152,425","632,529,271","620,680,873","608,981,328","603,459,506","599,394,231","594,677,127","605,792,910","630,073,651","642,218,726","646,814,232","638,508,360","633,991,835","629,350,303","613,788,217","592,901,034","571,279,436","557,462,001","574,617,856","583,391,908","619,721,598","645,650,065","661,937,616","676,516,453","687,366,381","685,724,189","679,682,675","680,154,500","693,468,550","419,221,705","677,846,382","778,822,335","766,579,450","747,995,608","692,374,378","669,863,820","670,768,331","668,985,977","663,557,174","654,238,710","643,031,150","630,964,860","644,223,331","633,634,034","642,090,462","653,239,327","654,249,456","662,048,191","667,871,849","677,687,888","690,090,751","676,850,301","670,907,542","677,052,839","652,785,342","677,127,279","697,827,378","701,457,422","731,929,505","738,963,636","761,029,293","780,255,559","775,178,518","779,084,633","767,515,098","837,491,167","857,295,220","890,451,361","901,993,008","884,185,890","870,859,340","840,126,751","810,560,354"
"Total institutional and governmental","204,411,085","201,019,688","198,874,049","201,650,506","209,588,544","222,448,321","237,758,314","242,225,574","240,840,087","235,849,207","233,540,485","229,834,787","223,372,821","219,174,550","212,312,074","208,935,064","201,318,132","199,929,526","202,956,781","203,211,411","200,372,055","203,127,234","194,495,858","190,328,295","182,161,828","173,850,009","166,357,539","165,376,493","160,467,835","158,740,524","162,466,061","165,823,918","165,046,834","166,374,904","165,908,892","165,511,654","178,210,776","179,235,214","182,089,558","175,732,913","189,449,332","196,000,855","204,793,242","206,833,977","201,438,485","199,015,307","204,986,578","195,673,547","197,474,086","196,170,273","195,057,432","193,303,892","190,539,941","192,699,103","192,700,598","205,492,777","205,516,814","201,183,042","198,284,155","194,362,770","191,639,150","189,054,779","188,835,786","216,538,162","218,306,854","242,612,455","250,730,593","250,625,190","251,784,272","248,963,870","238,989,354","228,587,680","223,291,473","215,191,171","211,362,846","210,433,064","213,659,695","210,899,157","215,708,435","222,274,110","248,003,243","247,783,830","264,830,382"

